antigen,antibody,sample,crosslinker
ply_1-471,6E5_001,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_001,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_002,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_002,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_003,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_003,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_004,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_004,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_005,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_005,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_006,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_006,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_007,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_007,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_008,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_008,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_009,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_009,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_010,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_010,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_011,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_011,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_012,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_012,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_013,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_013,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_014,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_014,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_015,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_015,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_016,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_016,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_017,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_017,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_018,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_018,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_019,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_019,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_020,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_020,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_021,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_021,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_022,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_022,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_023,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_023,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_024,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_024,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,6E5_025,PLY_6E5_DSS_DT_C2404_126,DSS
ply_1-471,6E5_025,PLY_6E5_DSS_DT_C2404_127,DSS
ply_1-471,3F3_xyz_001,PLY_6E5_DSS_DT_C2404_127,DSS
